City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Sibolga,ID,74.12,heavy intensity rain,1.7427,98.7792,Hotel Syariah CN Darussalam
5,Jonesboro,US,74.89,clear sky,35.8423,-90.7043,Hilton Garden Inn Jonesboro
6,Castro,BR,71.64,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
10,Kapaa,US,79.12,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
12,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
13,Vaini,TO,73.56,few clouds,-21.2,-175.2,Keleti Beach Resort
21,General Roca,AR,72.63,overcast clouds,-39.0333,-67.5833,Hotel El Recreo
23,Tucuman,AR,87.8,clear sky,-26.8241,-65.2226,Dallas Hotel Tucuman
24,Luanda,AO,73.4,few clouds,-8.8368,13.2343,EPIC SANA Luanda
31,Riyadh,SA,87.94,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
33,Santa Maria,BR,70.14,scattered clouds,-29.6842,-53.8069,Hotel Morotin
34,Bathsheba,BB,84.81,scattered clouds,13.2167,-59.5167,Atlantis Hotel
36,Fraga,ES,74.52,clear sky,41.5229,0.3489,Hotel Casanova
38,Padang,ID,71.65,light rain,-0.9492,100.3543,Mercure Padang
41,Hithadhoo,MV,82.67,overcast clouds,-0.6,73.0833,Scoop Guest House
43,San Francisco,US,71.04,overcast clouds,37.7749,-122.4194,Edwardian Hotel
46,Lixourion,GR,71.6,few clouds,38.2019,20.4314,Hotel Summery
47,Pitimbu,BR,84.79,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
48,Butaritari,KI,81.34,broken clouds,3.0707,172.7902,Isles Sunset Lodge
49,Katsuura,JP,76.91,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
53,Laguna,US,83.01,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
54,Kahului,US,80.62,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
59,Kudahuvadhoo,MV,81.43,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
68,Victoria,HK,84.33,clear sky,22.2855,114.1577,Mini Central
70,Praia Da Vitoria,PT,77.25,few clouds,38.7333,-27.0667,Hotel Branco I
74,Waddan,LY,78.12,clear sky,29.1614,16.139,محل الشريف محمد العايب
78,Torrevieja,ES,75.72,overcast clouds,37.9787,-0.6822,Hotel Fontana Plaza
81,Honiara,SB,76.3,overcast clouds,-9.4333,159.95,Heritage Park Hotel
84,Ingham,US,72.16,clear sky,42.6,-84.3833,Sunset Mobile Home Park
86,Banjar,ID,76.44,broken clouds,-8.19,114.9675,The Hamsa Resort
87,Hambantota,LK,79.43,overcast clouds,6.1241,81.1185,Bungalow 63
89,Praya,CV,81.14,broken clouds,14.9215,-23.5087,LT Aparthotel
91,Cochrane,CA,72.61,clear sky,51.1834,-114.4687,Days Inn & Suites by Wyndham Cochrane
92,El Cope,PA,82.35,overcast clouds,8.6167,-80.6,Hostal Buena Esperanza
95,Puerto Ayora,EC,80.56,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
96,Mahebourg,MU,72.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
97,Los Llanos De Aridane,ES,79.12,overcast clouds,28.6585,-17.9182,Valle Aridane
98,Rio Novo Do Sul,BR,73.99,overcast clouds,-20.8625,-40.9364,POUSADA TRÊS IRMÃS
99,The Valley,AI,87.1,broken clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
101,Kutum,SD,85.06,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
105,Kieta,PG,78.39,light rain,-6.2167,155.6333,Uruna Bay Retreat
106,Gerash,IR,80.74,clear sky,27.6652,54.1371,Sa'adat House Gerash
108,Itoman,JP,80.62,clear sky,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
116,Muisne,EC,78.67,overcast clouds,0.6,-80.0333,Quinta Samay
118,Garden City,US,72.77,few clouds,42.3256,-83.331,Big Trees Mobile Home Community
120,Atuona,PF,76.71,few clouds,-9.8,-139.0333,Villa Enata
121,Talara,PE,74.16,clear sky,-4.5772,-81.2719,Hostal Oro Negro
122,Saint-Joseph,RE,70.18,broken clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
123,Saint-Philippe,RE,71.19,scattered clouds,-21.3585,55.7679,Le four à pain
125,Hilo,US,84.27,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
126,Tatui,BR,74.35,broken clouds,-23.3556,-47.8569,Hotel Del Fiol
127,Meulaboh,ID,73.74,light rain,4.1363,96.1285,Kost Pria
128,Kavieng,PG,82.2,light rain,-2.5744,150.7967,Nusa Island Retreat
130,Ponta Do Sol,PT,78.71,scattered clouds,32.6667,-17.1,Hotel do Campo
131,Sukumo,JP,73.33,broken clouds,32.9333,132.7333,Sukumojo
132,Nagahama,JP,70.99,overcast clouds,35.3833,136.2667,Hotel & Resorts NAGAHAMA
133,Jalna,IN,75.43,overcast clouds,19.8333,75.8833,HOTEL SHIVNERI PALACE
136,Santa Fe Do Sul,BR,87.37,broken clouds,-20.2111,-50.9258,Litani Park Hotel - Hotel Santa Fé do Sul
137,Namatanai,PG,79.07,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
138,Parrita,CR,84.85,overcast clouds,9.5201,-84.3225,Beso del Viento
139,Bambanglipuro,ID,75.69,broken clouds,-7.95,110.2833,Puri Brata
140,Half Moon Bay,US,71.82,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
141,Arraial Do Cabo,BR,75.06,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
142,Puerto Escondido,MX,86.83,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
147,Quelimane,MZ,76.73,clear sky,-17.8786,36.8883,Hotel Flamingo
150,Dingle,PH,76.24,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
152,Delano,US,79.38,clear sky,35.7688,-119.247,"Holiday Inn Express Delano Hwy 99, an IHG Hotel"
157,Salalah,OM,78.89,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
158,Lincoln,US,81.12,overcast clouds,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
159,Sao Joao Da Barra,BR,80.69,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
160,Balkanabat,TM,74.95,clear sky,39.5108,54.3671,Nebitchi Hotel
161,Mata,PT,75.92,clear sky,40.683,-7.4592,Hostel EntryFik
163,Panama City,PA,86.29,scattered clouds,8.9936,-79.5197,Trump International Hotel & Tower Panama
164,Lorengau,PG,81.01,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
165,Ibra,OM,76.64,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
176,Asyut,EG,82.9,clear sky,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
179,Kuito,AO,74.28,broken clouds,-12.3833,16.9333,Herdeiros de Antunes Capusso
182,Basoko,CD,74.21,light rain,1.2391,23.616,Jackyna Hotel
187,Umm Lajj,SA,84.18,clear sky,25.0213,37.2685,Moon light Furnished Units
189,Pittsburg,US,74.25,clear sky,38.028,-121.8847,Hampton Inn & Suites Pittsburg
194,Banda Aceh,ID,75.58,light rain,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
195,Gigmoto,PH,80.11,broken clouds,13.7796,124.39,Cj's Travellers Inn
203,Mangrol,IN,80.74,broken clouds,21.1167,70.1167,Hotel The Royal Honours
204,Kudat,MY,76.93,thunderstorm with rain,6.8837,116.8477,Dream Garden Hotel
208,Bud,US,71.55,clear sky,39.447,-86.1758,Ted McQuinn Trust
209,Corralillo,CU,82.92,scattered clouds,22.9819,-80.5856,Hostal De Pedri
210,Butte,US,74.91,clear sky,39.6499,-121.5677,Meadowbrook Oaks Mobile Home Park
211,Virden,US,72.75,clear sky,39.5009,-89.7679,Virden Nail Spa
213,Salina,US,83.3,clear sky,38.8403,-97.6114,"Holiday Inn Express & Suites Salina, an IHG Hotel"
222,Gainesville,US,76.01,few clouds,29.6516,-82.3248,Stayable Select
223,Grand Gaube,MU,72.37,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
224,Auki,SB,76.51,overcast clouds,-8.7676,160.7034,Auki Motel
225,Georgetown,MY,78.73,scattered clouds,5.4112,100.3354,Cititel Penang
228,Finschhafen,PG,79.12,broken clouds,-6.6024,147.8681,Oasis Gagidu Ltd
231,Karoi,ZW,76.03,clear sky,-16.8099,29.6925,Chikangwe Guest houses
233,Sola,VU,79.68,scattered clouds,-13.8833,167.55,Leumerus Bungalows
235,Great Falls,US,70.68,clear sky,47.5002,-111.3008,Extended Stay America - Great Falls - Missouri River
236,Saint Anthony,US,78.1,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
241,Caravelas,BR,81.45,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
243,General Pico,AR,83.07,broken clouds,-35.6566,-63.7568,Euskadi Hotel
244,Mutengene,CM,75.25,broken clouds,4.0913,9.3144,Quarter 1
245,Healdsburg,US,84.9,scattered clouds,38.6105,-122.8692,Best Western Dry Creek Inn
247,Vicuna,CL,73.78,clear sky,-30.0319,-70.7081,Los Mosaicos
249,Matay,EG,81.25,clear sky,28.419,30.7792,Nag Aespen
250,Pinotepa Nacional,MX,85.75,broken clouds,16.3167,-98.0167,Hotel Maria Del Carmen
254,Matara,LK,78.33,heavy intensity rain,5.9485,80.5353,Amaloh Boutique Resort
257,Salinas,US,71.8,scattered clouds,36.6777,-121.6555,Laurel Inn & Conference Center
260,Marsh Harbour,BS,80.98,broken clouds,26.5412,-77.0636,Abaco Beach Resort
261,Trairi,BR,84.96,overcast clouds,-3.2778,-39.2689,janelas do mar
263,Shingu,JP,75.79,overcast clouds,33.7333,135.9833,Shingu UI Hotel
264,Sao Filipe,CV,78.37,light rain,14.8961,-24.4956,Hotel Xaguate
268,Daru,PG,79.12,overcast clouds,-9.0763,143.2092,Daru Lodge
270,Lubao,PH,78.87,broken clouds,14.9167,120.55,Hacienda Gracia
272,Dhidhdhoo,MV,81.88,overcast clouds,6.8833,73.1,Dhidhoo beach
273,San Cristobal,VE,84.38,scattered clouds,7.7669,-72.225,Pirineos
274,Bandundu,CD,76.35,light rain,-3.3167,17.3667,Coja Color
278,Majene,ID,77.85,moderate rain,-3.5403,118.9707,Kost Putri RABBANI
279,Esmeraldas,BR,85.24,moderate rain,-19.7625,-44.3139,Forasteiro Pousada
283,Salta,AR,84.58,clear sky,-24.7859,-65.4117,Hotel Alejandro I
