City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bagdarin,RU,54.4333,113.6,18.88,72,17,4.09,few clouds
1,Ushuaia,AR,-54.8,-68.3,56.82,41,20,6.91,few clouds
2,Airai,TL,-8.9266,125.4092,62.04,91,99,1.63,overcast clouds
3,Sibolga,ID,1.7427,98.7792,74.12,98,100,1.32,heavy intensity rain
4,Hovd,MN,48.0056,91.6419,29.5,29,68,1.48,broken clouds
5,Jonesboro,US,35.8423,-90.7043,74.89,33,0,9.22,clear sky
6,Castro,BR,-24.7911,-50.0119,71.64,56,74,5.93,broken clouds
7,Norman Wells,CA,65.282,-126.8329,35.64,93,75,10.36,broken clouds
8,Asau,RO,46.4333,26.4,49.28,77,96,4.45,overcast clouds
9,New Norfolk,AU,-42.7826,147.0587,40.71,71,31,1.54,scattered clouds
10,Kapaa,US,22.0752,-159.319,79.12,86,40,11.5,light rain
11,Chuy,UY,-33.6971,-53.4616,64.36,56,71,9.31,broken clouds
12,Avarua,CK,-21.2078,-159.775,77.05,78,75,17.27,broken clouds
13,Vaini,TO,-21.2,-175.2,73.56,94,20,2.3,few clouds
14,Chokurdakh,RU,70.6333,147.9167,18.72,96,81,7.52,broken clouds
15,Charters Towers,AU,-20.1,146.2667,65.79,81,97,9.48,light rain
16,Jacareacanga,BR,-6.2222,-57.7528,97.03,35,83,4.45,broken clouds
17,Ust-Omchug,RU,61.15,149.6333,17.58,94,100,10.71,light snow
18,Clyde River,CA,70.4692,-68.5914,26.83,100,100,18.41,fog
19,Lubeck,US,39.2354,-81.6312,64.78,52,89,6.96,overcast clouds
20,Hermanus,ZA,-34.4187,19.2345,51.8,67,0,5.3,clear sky
21,General Roca,AR,-39.0333,-67.5833,72.63,22,98,15.08,overcast clouds
22,Khatanga,RU,71.9667,102.5,23.41,97,100,7.09,light snow
23,Tucuman,AR,-26.8241,-65.2226,87.8,27,0,8.05,clear sky
24,Luanda,AO,-8.8368,13.2343,73.4,88,20,9.22,few clouds
25,Necochea,AR,-38.5473,-58.7368,67.1,39,84,12.97,broken clouds
26,Rawson,AR,-43.3002,-65.1023,69.8,29,59,12.39,broken clouds
27,Roma,US,43.2128,-75.4557,60.51,64,100,5.75,overcast clouds
28,Busselton,AU,-33.65,115.3333,58.17,86,75,17.11,broken clouds
29,Barrow,US,71.2906,-156.7887,21.22,93,75,6.91,broken clouds
30,Changli,CN,39.7042,119.1506,42.28,31,0,4.16,clear sky
31,Riyadh,SA,24.6877,46.7219,87.94,15,0,6.76,clear sky
32,Milkovo,RU,54.7167,158.6167,43.7,93,100,1.43,light rain
33,Santa Maria,BR,-29.6842,-53.8069,70.14,41,25,8.55,scattered clouds
34,Bathsheba,BB,13.2167,-59.5167,84.81,79,40,24.16,scattered clouds
35,Bonfim,BR,3.0833,-59.95,90.7,49,27,2.15,scattered clouds
36,Fraga,ES,41.5229,0.3489,74.52,60,0,10.18,clear sky
37,Gawler,AU,-34.6,138.7333,60.26,85,75,17.18,broken clouds
38,Padang,ID,-0.9492,100.3543,71.65,86,100,2.48,light rain
39,Zenzeli,RU,45.9241,47.0474,64.69,60,98,9.42,overcast clouds
40,Lebu,CL,-37.6167,-73.65,53.96,85,79,11.34,broken clouds
41,Hithadhoo,MV,-0.6,73.0833,82.67,72,87,17.07,overcast clouds
42,Orlik,RU,52.5178,99.825,23.23,61,0,3.09,clear sky
43,San Francisco,US,37.7749,-122.4194,71.04,86,100,10.36,overcast clouds
44,Cape Town,ZA,-33.9258,18.4232,60.1,53,0,10.36,clear sky
45,Yellowknife,CA,62.456,-114.3525,36.12,69,75,15.01,broken clouds
46,Lixourion,GR,38.2019,20.4314,71.6,73,20,10.36,few clouds
47,Pitimbu,BR,-7.4706,-34.8086,84.79,67,43,13.49,scattered clouds
48,Butaritari,KI,3.0707,172.7902,81.34,74,83,12.93,broken clouds
49,Katsuura,JP,35.1333,140.3,76.91,86,89,23.33,overcast clouds
50,Rikitea,PF,-23.1203,-134.9692,69.4,66,68,25.32,broken clouds
51,Shishou,CN,29.7226,112.419,52.86,68,100,16.2,overcast clouds
52,Tuktoyaktuk,CA,69.4541,-133.0374,30.2,86,100,17.27,overcast clouds
53,Laguna,US,38.421,-121.4238,83.01,63,0,3.44,clear sky
54,Kahului,US,20.8947,-156.47,80.62,79,40,10.36,scattered clouds
55,Klyuchi,RU,52.2667,79.1667,37.36,52,66,5.32,broken clouds
56,Nikolskoye,RU,59.7035,30.7861,44.8,96,89,2.28,overcast clouds
57,Jamestown,US,42.097,-79.2353,62.02,37,0,8.05,clear sky
58,Ancud,CL,-41.8697,-73.8203,51.22,79,75,10.71,broken clouds
59,Kudahuvadhoo,MV,2.6708,72.8944,81.43,78,100,17.29,overcast clouds
60,Cabo San Lucas,MX,22.8909,-109.9124,91.71,63,0,4.61,clear sky
61,Svetlaya,RU,46.5389,138.3297,35.96,57,0,9.31,clear sky
62,Aykhal,RU,66.0,111.5,25.5,90,99,18.57,overcast clouds
63,Podor,MR,16.6527,-14.9587,101.64,28,68,6.69,broken clouds
64,Dikson,RU,73.5069,80.5464,34.16,85,100,21.05,overcast clouds
65,Kruisfontein,ZA,-34.0033,24.7314,56.88,77,33,3.98,scattered clouds
66,Taoudenni,ML,22.6783,-3.9836,103.23,8,33,11.39,scattered clouds
67,Turukhansk,RU,65.8167,87.9833,32.34,99,100,5.97,light snow
68,Victoria,HK,22.2855,114.1577,84.33,82,1,3.0,clear sky
69,Albany,US,42.6001,-73.9662,60.26,59,97,5.77,light rain
70,Praia Da Vitoria,PT,38.7333,-27.0667,77.25,73,20,9.73,few clouds
